1,1,244.50,467.00,56.00,20.00,1,0,1
1,2,583.00,8.50,17.00,13.00,1,0,1
2,1,244.00,469.00,60.00,18.00,1,0,1
2,2,583.00,10.50,18.00,13.00,1,0,1
3,1,239.00,471.50,67.00,21.00,1,0,1
3,2,583.00,19.50,18.00,15.00,1,0,1
4,1,249.00,475.00,56.00,19.00,1,0,1
4,2,583.00,25.50,18.00,15.00,1,0,1
5,1,248.50,480.00,60.00,20.00,1,0,1
5,2,582.50,34.00,18.00,14.00,1,0,1
6,1,251.50,488.00,60.00,17.00,1,0,1
6,2,583.00,48.50,18.00,15.00,1,0,1
7,1,260.00,495.50,58.00,19.00,1,0,1
7,2,580.50,65.50,21.00,14.00,1,0,1
8,1,263.00,499.50,56.00,16.00,1,0,1
8,2,581.50,71.50,19.00,14.00,1,0,1
9,1,267.50,501.50,57.00,18.00,1,0,1
9,2,581.50,80.00,18.00,13.00,1,0,1
10,1,273.00,504.00,56.00,18.00,1,0,1
10,2,580.50,90.50,18.00,14.00,1,0,1
11,1,272.00,504.00,59.00,17.00,1,0,1
11,2,578.50,94.50,20.00,14.00,1,0,1
12,1,278.00,502.00,61.00,18.00,1,0,1
12,2,576.50,102.50,20.00,13.00,1,0,1
13,1,307.00,488.00,54.00,24.00,1,0,1
13,2,572.00,112.50,20.00,14.00,1,0,1
14,1,312.00,485.00,55.00,27.00,1,0,1
14,2,571.50,113.00,18.00,15.00,1,0,1
15,1,324.00,484.00,54.00,26.00,1,0,1
15,2,570.00,116.00,19.00,14.00,1,0,1
16,1,331.00,482.00,54.00,26.00,1,0,1
16,2,569.00,118.50,19.00,12.00,1,0,1
17,1,346.00,480.00,56.00,27.00,1,0,1
17,2,564.50,120.00,20.00,14.00,1,0,1
18,1,351.00,478.00,58.00,29.00,1,0,1
18,2,565.00,123.00,18.00,11.00,1,0,1
19,1,370.00,477.00,59.00,27.00,1,0,1
19,2,561.50,126.00,18.00,9.00,1,0,1
20,1,392.00,477.00,56.00,25.00,1,0,1
20,2,560.50,127.00,16.00,10.00,1,0,1
21,1,404.00,477.00,39.00,27.00,1,0,1
21,2,558.00,128.50,18.00,11.00,1,0,1
22,1,432.50,477.50,55.00,21.00,1,0,1
22,2,559.00,132.50,12.00,9.00,1,0,1
23,1,440.00,474.50,69.00,21.00,1,0,1
23,2,556.50,134.00,17.00,8.00,1,0,1
24,1,471.50,475.50,59.00,18.00,1,0,1
24,2,562.50,137.00,9.00,7.00,1,0,1
25,1,486.00,473.00,57.00,22.00,1,0,1
25,2,560.50,134.50,13.00,10.00,1,0,1
26,1,515.00,469.00,53.81,24.53,1,0,1
26,2,562.50,137.00,13.00,10.00,1,0,1
27,1,528.00,469.66,57.59,20.46,1,0,1
27,2,561.00,137.50,15.00,10.00,1,0,1
28,1,551.00,463.00,55.00,28.00,1,0,1
28,2,559.50,137.00,17.00,13.00,1,0,1
29,2,554.50,137.00,19.00,13.00,1,0,1
29,1,583.00,454.00,53.00,32.00,1,0,1
30,2,555.50,139.50,11.00,10.00,1,0,1
30,1,593.00,453.00,51.00,31.00,1,0,1
31,2,550.50,137.50,17.00,13.00,1,0,1
31,1,609.00,451.00,51.00,32.00,1,0,1
32,2,549.50,138.50,18.00,11.00,1,0,1
32,1,617.00,448.00,52.00,35.00,1,0,1
33,2,543.50,137.00,18.00,13.00,1,0,1
33,1,627.00,445.00,55.00,32.00,1,0,1
34,2,542.50,134.00,19.00,16.00,1,0,1
34,1,633.00,445.00,51.00,30.00,1,0,1
35,2,535.50,133.50,20.00,14.00,1,0,1
35,1,643.00,442.00,49.00,26.00,1,0,1
36,2,534.00,133.50,18.00,13.00,1,0,1
36,1,647.00,438.00,47.00,29.00,1,0,1
37,2,529.50,131.00,19.00,16.00,1,0,1
37,1,653.00,434.00,50.23,29.23,1,0,1
38,2,528.00,131.00,18.00,13.00,1,0,1
38,1,654.00,434.00,51.08,27.76,1,0,1
39,2,522.00,128.50,19.00,15.00,1,0,1
39,1,657.00,428.00,46.00,30.00,1,0,1
40,2,520.00,128.00,20.00,14.00,1,0,1
40,1,658.00,428.00,49.65,25.61,1,0,1
41,2,514.00,125.00,18.00,14.00,1,0,1
41,1,659.00,421.82,47.44,26.46,1,0,1
42,2,509.00,123.00,19.00,14.00,1,0,1
42,1,653.00,414.00,53.00,29.00,1,0,1
43,2,509.00,121.50,18.00,15.00,1,0,1
43,1,652.00,409.00,49.00,29.00,1,0,1
44,2,505.00,117.50,18.00,18.00,1,0,1
44,1,647.00,406.00,48.10,27.42,1,0,1
45,2,504.50,116.50,18.00,18.00,1,0,1
45,1,643.00,404.00,47.00,26.00,1,0,1
46,2,502.50,116.50,17.00,17.00,1,0,1
46,1,635.00,399.00,48.00,25.00,1,0,1
47,2,501.50,115.00,18.00,17.00,1,0,1
47,1,627.00,397.00,52.00,24.00,1,0,1
48,2,501.00,114.50,17.00,17.00,1,0,1
48,1,618.00,387.00,54.98,27.00,1,0,1
49,2,499.50,114.00,18.00,14.00,1,0,1
49,1,610.00,387.00,61.84,19.00,1,0,1
50,2,501.50,113.00,16.00,15.00,1,0,1
50,1,607.00,381.00,51.54,18.29,1,0,1
51,2,501.00,113.00,19.00,16.00,1,0,1
51,1,599.00,373.00,53.00,21.00,1,0,1
52,2,501.00,112.00,19.00,18.00,1,0,1
52,1,592.00,366.00,54.58,20.86,1,0,1
53,2,501.00,112.00,18.00,17.00,1,0,1
53,1,590.00,361.00,49.00,20.00,1,0,1
54,2,501.50,112.50,18.00,15.00,1,0,1
54,1,587.00,355.00,52.00,23.00,1,0,1
55,2,502.50,112.00,18.00,15.00,1,0,1
55,1,580.00,341.00,47.00,27.00,1,0,1
56,2,504.50,110.50,17.00,17.00,1,0,1
56,1,577.00,334.00,47.00,26.00,1,0,1
57,2,508.00,112.00,16.00,14.00,1,0,1
57,1,569.00,321.00,49.00,29.00,1,0,1
58,2,506.50,110.50,19.00,16.00,1,0,1
58,1,566.00,313.38,48.27,31.11,1,0,1
59,2,512.00,111.50,17.00,14.00,1,0,1
59,1,557.00,310.00,47.00,25.00,1,0,1
60,2,513.50,111.00,19.00,15.00,1,0,1
60,1,554.00,306.00,45.00,24.00,1,0,1
61,2,518.50,112.00,17.00,14.00,1,0,1
61,1,543.00,290.00,45.90,29.05,1,0,1
62,2,520.50,112.00,18.00,15.00,1,0,1
62,1,539.50,282.50,45.00,33.00,1,0,1
63,2,526.50,111.00,19.00,14.00,1,0,1
63,1,531.00,274.50,43.00,31.00,1,0,1
64,1,521.00,267.00,48.00,32.00,1,0,1
64,2,528.00,111.00,20.00,16.00,1,0,1
65,1,512.00,264.50,46.00,29.00,1,0,1
65,2,533.50,112.00,20.00,14.00,1,0,1
66,1,506.00,261.50,45.00,25.00,1,0,1
66,2,537.00,113.00,20.00,14.00,1,0,1
67,1,492.00,257.00,48.00,22.00,1,0,1
67,2,540.50,116.50,23.00,14.00,1,0,1
68,1,484.50,256.50,47.00,23.00,1,0,1
68,2,547.00,120.50,20.00,14.00,1,0,1
69,1,474.00,258.00,47.00,18.00,1,0,1
69,2,551.50,131.50,20.00,14.00,1,0,1
70,1,470.00,257.00,43.00,21.00,1,0,1
70,2,557.00,137.50,18.00,14.00,1,0,1
71,1,461.00,259.50,44.00,18.00,1,0,1
71,2,563.00,154.00,19.00,13.00,1,0,1
72,1,454.50,259.00,48.00,23.00,1,0,1
72,2,567.00,161.00,15.00,10.00,1,0,1
73,1,455.00,259.00,35.00,18.00,1,0,1
73,2,570.00,170.50,19.00,13.00,1,0,1
74,1,446.00,256.00,41.00,18.00,1,0,1
